06;2371;06;408;20;6;0;117;22;28;77
02;002;02;003;11;49;300;1215;321;162;1325
06;412;02;006;9;23;2;41;33;17;25
02;001;06;756;2;0;0;8;2;2;5
02;004;02;002;3;0;0;12;5;1;10
06;035;06;410;20;0;0;1;1;0;1
06;532;02;009;7;0;0;1;0;0;1
02;003;06;648;23;0;0;9;0;3;5
06;497;06;497;19;0;0;981;240;52;907
02;001;02;006;20;16;718;930;122;93;1535
02;012;06;410;11;4;0;19;8;6;8
06;274;06;648;15;0;0;2;0;1;1
02;015;02;005;12;9;332;619;147;79;844
02;014;02;014;6;28;48;678;143;59;665
02;002;02;001;3;0;0;23;4;3;19
06;638;06;371;15;6;0;49;6;17;28
02;013;06;882;9;0;0;9;4;1;7
06;410;02;012;5;12;0;31;17;11;15
06;658;06;245;20;0;0;2;0;1;1
06;028;02;006;10;28;22;45;19;28;42
02;009;06;539;16;347;0;592;168;267;467
06;412;06;497;17;1;0;11;1;3;7
02;008;06;840;14;1;0;81;15;22;52
02;013;06;749;2;0;0;2;0;0;2
06;035;06;490;8;110;1;447;168;119;351
06;638;02;002;7;42;17;82;42;48;74
02;015;06;434;20;9;62;193;44;67;157
02;008;02;004;6;20;2;970;97;150;784
02;015;06;497;17;0;2;9;2;4;6
02;003;02;004;23;0;4;194;28;8;187
02;011;06;260;21;0;0;9;0;2;5
06;427;06;410;21;6;0;169;44;47;107
06;371;02;015;14;33;31;304;102;65;269
02;004;06;861;6;51;11;247;62;75;187
06;515;06;805;1;0;0;1;1;0;1
02;010;06;408;6;1;0;9;4;2;7
02;008;02;007;9;4;20;685;172;95;571
06;028;02;004;22;0;0;41;9;5;34
06;410;06;756;6;4;0;81;20;26;43
06;427;02;012;11;6;2;200;52;63;99
02;009;06;568;8;82;0;140;34;41;166
06;756;02;001;5;84;44;233;31;100;186
02;013;06;840;23;0;0;69;15;10;54
06;035;06;408;4;1;0;4;5;2;2
02;009;06;270;18;4;0;42;12;10;29
02;011;06;638;12;19;0;11;5;4;24
06;364;02;014;6;5;0;46;20;14;29
06;371;06;412;21;0;0;100;20;23;69
02;005;02;001;6;44;499;843;102;97;1249
06;658;06;028;2;0;0;2;2;1;1
06;427;06;490;9;19;0;487;103;133;272
06;568;06;274;17;2;0;27;12;5;22
06;274;06;427;11;1;0;30;11;7;21
02;009;06;515;7;0;0;2;0;0;2
06;260;02;009;11;2;0;71;9;20;42
06;028;06;648;21;0;0;534;136;27;497
06;412;02;004;21;0;0;1;0;0;1
02;015;02;006;8;27;27;742;149;73;691
06;515;06;515;9;380;2;4983;1897;674;4304
06;410;06;427;8;96;1;353;102;126;240
06;805;06;568;6;5;0;62;12;15;44
06;638;06;126;21;0;0;6;0;2;3
06;749;06;427;23;0;0;2;0;0;2
06;539;06;490;19;15;0;31;13;12;20
02;013;06;252;9;1;1;56;27;15;38
06;270;06;658;9;6;0;13;2;7;8
06;778;06;260;10;5;0;15;6;5;11
06;560;06;408;6;45;0;506;175;161;281
06;098;06;441;10;2;0;1079;304;100;940
06;515;06;568;10;4;0;75;22;6;71
02;006;06;749;15;6;1;27;12;11;14
02;011;06;252;20;1;0;31;1;10;15
06;119;06;260;11;1;0;4;1;1;2
06;441;06;119;20;0;0;8;4;1;6
06;760;06;749;22;0;0;20;2;2;17
02;009;06;441;13;2;0;4;0;2;3
06;408;02;001;21;2;1;23;1;5;19
02;003;06;749;12;27;6;69;17;28;51
06;134;02;008;8;1;0;4;0;2;2
06;515;02;003;8;84;41;121;60;69;99
06;749;06;756;21;2;0;262;59;32;219
06;260;02;003;11;52;23;224;44;76;172
02;011;06;749;13;2;0;26;12;9;15
06;260;06;119;6;0;0;2;0;1;1
06;840;06;252;6;2;0;33;5;10;14
02;005;06;515;15;11;11;19;11;10;22
06;840;06;749;21;0;0;19;6;2;15
06;260;06;861;4;6;0;85;9;27;39
06;525;06;371;9;1;0;2;0;1;1
06;364;06;805;17;0;0;8;0;2;2
06;134;06;260;8;17;0;55;15;15;45
06;539;06;260;12;4;0;19;9;7;8
06;560;06;658;23;0;0;1;0;0;1
06;035;06;756;10;5;0;9;1;4;6
06;266;06;252;7;0;0;38;0;6;28
02;012;06;805;20;1;1;86;12;21;57
06;515;06;497;21;0;0;2;0;1;1
06;760;06;638;20;22;0;124;27;32;98
02;005;06;568;16;53;28;93;23;45;95
02;009;06;371;19;1;0;118;33;26;81
02;014;02;015;21;8;81;883;91;62;888
02;001;06;245;20;1;0;6;0;2;3
06;568;06;574;5;1;0;2;0;1;1
06;756;06;805;6;31;0;869;142;192;604
02;002;06;364;8;0;0;2;2;1;1
02;003;06;434;23;0;0;95;13;14;75
06;539;06;760;15;28;1;92;33;36;52
06;245;06;658;17;1;0;27;2;6;19
06;539;06;364;10;5;0;78;19;19;47
06;260;02;010;17;1;0;11;0;4;6
06;568;02;015;17;30;13;122;17;34;111
06;805;06;371;16;6;0;288;97;78;173
06;805;06;412;11;4;0;207;53;48;131
06;490;02;004;20;12;0;255;34;49;194
02;001;06;028;23;0;0;164;24;21;135
06;861;06;749;4;0;0;13;0;4;7
06;274;02;005;8;30;24;97;46;46;72
02;012;02;001;18;63;444;425;86;172;679
02;001;06;441;11;33;22;222;51;42;213
06;760;06;252;7;1;0;104;16;25;63
06;648;02;003;2;0;0;6;1;2;3
02;003;06;260;4;0;0;5;0;1;3
06;371;02;001;20;5;13;86;16;21;75
02;001;06;861;2;0;0;9;2;0;8
02;003;02;006;11;15;436;598;194;96;900
02;002;06;270;23;0;0;6;0;0;6
06;434;06;408;12;1;0;4;0;2;2
06;274;06;840;8;2;0;8;0;4;5
02;011;02;011;3;0;0;2;0;1;1
06;539;02;011;9;45;0;122;81;44;70
06;539;02;013;17;16;1;62;17;23;37
06;760;06;490;15;5;0;4;0;3;5
06;861;06;882;11;0;0;2;2;1;1
06;882;06;490;8;0;0;1;0;0;1
06;490;06;658;10;19;0;575;157;112;416
02;012;06;427;4;0;0;9;0;3;3
06;560;06;028;12;0;0;8;5;2;3
02;015;06;749;9;4;0;12;0;5;7
06;427;06;427;14;583;12;33568;10402;3603;28848
06;805;06;408;10;2;0;22;6;7;12
06;427;06;412;6;6;0;44;2;15;22
06;760;06;274;6;1;0;5;2;2;2
02;015;02;004;20;4;95;233;45;67;237
02;001;02;004;9;44;249;2395;444;210;2381
06;515;02;008;8;1;0;4;1;1;2
