prov_origen;depto_origen;prov_destino;depto_destino;hora_incio;cantidad_tren;cantidad_subte;cantidad_bus;cantidad_as;cantidad_transbordo;pobl2010_origen;pobl2010_destino
2;15;6;749;5;175;19;486;101;278;182574;166803
6;134;6;35;5;138;0;107;48;82;51892;342464
6;98;6;270;5;0;0;1;0;0;88470;163671
6;778;6;539;5;1;0;2;0;1;59478;525261
2;10;6;648;5;6;2;25;7;8;165883;81141
6;412;2;2;5;566;134;936;520;602;265981;157835
6;568;6;778;5;10;1;9;4;5;321109;59478
6;441;6;749;5;16;1;24;4;16;654324;166803
6;245;6;441;5;28;0;9385;1989;1189;56729;654324
6;410;2;1;5;609;408;1294;372;852;167824;206262
6;840;2;12;5;345;37;2023;597;864;339828;200870
6;364;6;441;5;0;0;9;5;3;87185;654324
2;1;2;8;5;103;1248;9018;1269;1705;206262;187237
6;638;2;1;5;1085;591;2013;600;1267;299916;206262
2;3;6;490;5;442;1093;9704;2343;3064;187537;616279
6;882;6;861;5;0;0;53;13;13;114269;268752
6;252;2;7;5;3;5;105;36;46;213619;220429
2;4;6;560;5;438;123;1024;369;633;218245;451589
6;252;2;6;5;7;8;123;27;58;213619;175916
6;840;6;525;5;37;0;123;29;53;339828;54181
6;35;6;568;5;97;9;237;59;124;342464;321109
6;515;6;805;5;631;0;14376;3392;4460;322375;377797
2;6;2;11;5;47;116;4797;985;528;175916;189832
2;9;6;539;5;1901;5;3343;1135;1942;161797;525261
6;568;6;329;5;14;0;21;5;14;321109;14889
6;497;6;568;5;0;0;283;106;106;106273;321109
2;9;2;12;5;23;20;2244;477;621;161797;200870
2;5;6;260;5;85;260;889;226;326;179005;300934
6;756;2;10;5;78;1;639;126;258;292878;165883
6;525;6;560;5;73;0;275;101;133;54181;451589
6;266;2;9;5;0;0;1;0;0;29805;161797
2;9;6;371;5;31;6;2003;407;570;161797;414196
6;490;6;882;5;0;0;16;1;5;616279;114269
6;490;6;539;5;105;0;413;129;172;616279;525261
6;270;6;638;5;0;0;3;2;1;163671;299916
6;749;6;270;5;4;3;5;3;5;166803;163671
6;532;2;12;5;0;0;12;2;0;63284;200870
6;364;2;12;5;1;1;75;28;30;87185;200870
6;35;6;497;5;0;1;16;4;7;342464;106273
6;134;2;1;5;619;225;333;143;419;51892;206262
6;28;2;12;5;136;139;288;116;230;552228;200870
6;778;6;35;5;104;0;208;51;107;59478;342464
6;270;6;412;5;5;1;9;8;5;163671;265981
2;12;2;6;5;6;376;1985;456;677;200870;175916
6;35;6;119;5;4;0;12;6;7;342464;26367
6;434;2;1;5;2214;2516;21902;3521;7338;459263;206262
2;2;6;560;5;704;109;1704;984;1017;157835;451589
6;98;2;3;5;5;3;90;39;45;88470;187537
6;35;2;6;5;66;286;1523;372;639;342464;175916
6;91;6;568;5;10;0;114;34;36;324244;321109
6;840;6;329;5;0;0;2;2;1;339828;14889
2;8;6;371;5;20;1;911;152;364;187237;414196
6;434;2;13;5;304;309;2204;645;1071;459263;232094
2;6;6;410;5;208;17;248;105;174;175916;167824
2;3;6;882;5;6;18;232;58;24;187537;114269
6;412;2;10;5;188;2;529;201;262;265981;165883
6;490;6;638;5;23;3;133;39;52;616279;299916
6;497;2;15;5;1;3;17;3;8;106273;182574
6;638;2;5;5;74;40;149;52;110;299916;179005
6;91;6;805;5;17;0;42;19;20;324244;377797
6;126;2;3;5;0;13;204;47;23;94461;187537
6;134;6;434;5;196;2;155;34;124;51892;459263
6;126;6;882;5;0;0;2124;345;174;94461;114269
6;126;2;6;5;0;0;3;0;1;94461;175916
6;749;2;2;5;376;83;659;251;457;166803;157835
6;861;6;35;5;141;33;356;123;220;268752;342464
6;126;2;7;5;0;1;5;1;2;94461;220429
6;560;6;805;5;71;1;4581;1312;1665;451589;377797
6;441;6;126;5;0;0;5;0;2;654324;94461
6;658;6;134;5;18;0;103;23;33;581314;51892
6;371;2;1;5;2469;2219;3866;967;3301;414196;206262
6;756;2;2;5;1018;405;2160;461;1439;292878;157835
6;760;6;756;5;145;1;3262;842;1212;273838;292878
6;760;2;7;5;350;96;649;206;392;273838;220429
6;266;6;560;5;3;0;72;14;30;29805;451589
2;7;2;12;5;63;766;2208;434;696;220429;200870
6;371;2;11;5;196;12;3497;905;1071;414196;189832
2;5;6;134;5;26;35;37;7;35;179005;51892
6;648;6;778;5;84;2;2644;594;307;81141;59478
6;840;6;756;5;127;3;1984;477;700;339828;292878
6;410;6;568;5;1258;10;12959;3889;2620;167824;321109
6;274;6;28;5;820;21;5376;1740;1742;426005;552228
6;532;6;497;5;0;0;945;204;62;63284;106273
6;412;6;560;5;267;4;11176;3506;1941;265981;451589
6;441;6;441;5;623;24;143081;33955;9628;654324;654324
6;270;6;408;5;5;0;17;4;8;163671;180423
6;497;6;252;5;0;0;108;30;13;106273;213619
6;840;2;8;5;125;8;1213;214;521;339828;187237
6;364;6;760;5;26;0;440;100;153;87185;273838
6;260;6;412;5;12;1;36;11;15;300934;265981
6;245;6;274;5;2;0;145;40;63;56729;426005
6;525;2;6;5;45;0;91;40;54;54181;175916
6;270;2;14;5;287;145;458;252;340;163671;225970
6;840;6;805;5;107;1;630;137;292;339828;377797
6;560;6;134;5;1;1;7;2;3;451589;51892
6;805;6;28;5;27;33;53;11;40;377797;552228
2;9;6;408;5;127;0;534;148;225;161797;180423
6;410;2;5;5;140;37;293;116;168;167824;179005
6;760;6;805;5;209;1;6272;1392;2066;273838;377797
6;638;6;364;5;18;0;1546;353;474;299916;87185
2;9;6;134;5;6;0;35;8;10;161797;51892
2;5;6;252;5;3;23;135;36;64;179005;213619
6;648;2;2;5;147;67;362;149;233;81141;157835
6;648;2;12;5;27;32;50;22;43;81141;200870
2;2;6;532;5;0;4;13;2;4;157835;63284
6;266;6;412;5;17;0;75;13;35;29805;265981
6;35;6;861;5;146;26;426;116;241;342464;268752
2;3;2;7;5;786;9289;8981;1838;2187;187537;220429
2;9;6;638;5;14;0;161;33;52;161797;299916
6;861;2;11;5;104;15;2003;390;715;268752;189832
2;8;6;760;5;69;1;218;66;104;187237;273838
2;9;2;13;5;101;328;4012;808;1078;161797;232094
6;560;6;861;5;85;2;3045;1158;1103;451589;268752
6;266;6;434;5;0;0;2;2;0;29805;459263
6;119;6;119;5;0;0;823;126;20;26367;26367
6;525;6;532;5;1;0;6;3;2;54181;63284
6;840;6;441;5;30;3;48;29;32;339828;654324
6;840;6;274;5;46;6;108;31;60;339828;426005
6;760;6;861;5;193;4;2245;620;868;273838;268752
6;408;6;410;5;62;0;2153;612;501;180423;167824
6;658;6;91;5;457;13;22734;5493;4192;581314;324244
6;35;2;2;5;175;336;4779;1058;1431;342464;157835
6;805;2;2;5;324;191;1353;444;698;377797;157835
6;805;2;12;5;76;2;1938;546;713;377797;200870
2;4;6;245;5;8;0;19;7;9;218245;56729
2;12;6;778;5;6;9;5;1;4;200870;59478
2;4;6;648;5;84;0;530;121;213;218245;81141
6;410;6;805;5;11;0;145;37;65;167824;377797
6;270;6;882;5;2;0;3;0;2;163671;114269
6;568;6;252;5;8;0;95;15;35;321109;213619
6;756;6;648;5;21;15;13;15;16;292878;81141
6;371;6;532;5;0;0;5;0;2;414196;63284
6;805;6;408;5;39;0;472;98;175;377797;180423
6;260;2;15;5;227;243;752;253;479;300934;182574
2;7;6;749;5;67;42;100;27;83;220429;166803
2;11;2;12;5;67;82;5579;1268;918;189832;200870
6;497;6;840;5;2;0;33;15;9;106273;339828
2;13;6;28;5;442;642;825;344;544;232094;552228
6;882;6;490;5;0;0;11;4;4;114269;616279
6;532;2;1;5;0;0;31;9;0;63284;206262
2;13;2;3;5;633;5113;7464;1666;2256;232094;187537
6;441;6;98;5;20;1;13263;3121;1203;654324;88470
6;408;6;574;5;0;0;3;1;1;180423;17054
6;266;6;638;5;12;0;1177;188;258;29805;299916
6;410;6;658;5;8;1;28;8;15;167824;581314
6;35;6;427;5;198;12;1395;310;654;342464;1498704
6;98;6;648;5;0;0;1;0;0;88470;81141
6;648;6;119;5;3;0;44;9;17;81141;26367
6;882;2;5;5;0;0;39;4;7;114269;179005
